Day,Month,Year,Date,Quarter,Sector,Female Employment,Male Employment,Total
31,March,1997,31-Mar-97,1,Public Sector,"3,747,887","2,327,019","6,074,906"
31,March,1997,31-Mar-97,1,Private sector,"8,104,728","11,850,873","19,955,601"
31,March,1997,31-Mar-97,1,"Agriculture, forestry & fishing","108,653","298,376","407,028"
31,March,1997,31-Mar-97,1,"Mining, energy and water supply","67,837","300,194","368,031"
31,March,1997,31-Mar-97,1,Manufacturing,"1,154,810","3,214,953","4,369,763"
31,March,1997,31-Mar-97,1,Construction,"241,576","1,649,738","1,891,314"
31,March,1997,31-Mar-97,1,"Wholesale, retail & repair of motor vehicles","1,979,329","2,014,109","3,993,437"
31,March,1997,31-Mar-97,1,Transport & storage,"270,270","1,071,309","1,341,579"
31,March,1997,31-Mar-97,1,Accommod-ation & food services,"742,558","532,625","1,275,183"
31,March,1997,31-Mar-97,1,Information & communication,"258,376","484,435","742,811"
31,March,1997,31-Mar-97,1,Financial & insurance activities,"622,683","541,536","1,164,417"
31,March,1997,31-Mar-97,1,Real estate activities,"96,666","100,464","196,931"
31,March,1997,31-Mar-97,1,"Professional, scientific & technical activities","636,776","860,735","1,497,511"
31,March,1997,31-Mar-97,1,Administrative & support services,"469,625","562,711","1,032,336"
31,March,1997,31-Mar-97,1,Public admin & defence; social security,"689,215","844,486","1,533,701"
31,March,1997,31-Mar-97,1,Education,"1,481,226","662,034","2,143,260"
31,March,1997,31-Mar-97,1,Human health & social work activities,"2,329,901","539,397","2,869,298"
31,March,1997,31-Mar-97,1,Other services,"756,022","546,020","1,302,042"
30,June,1997,30-Jun-97,2,Public Sector,"3,768,622","2,292,616","6,061,238"
30,June,1997,30-Jun-97,2,Private sector,"8,209,024","12,025,404","20,234,428"
30,June,1997,30-Jun-97,2,"Agriculture, forestry & fishing","115,169","310,961","426,130"
30,June,1997,30-Jun-97,2,"Mining, energy and water supply","69,131","296,861","365,992"
30,June,1997,30-Jun-97,2,Manufacturing,"1,164,397","3,178,886","4,343,283"
30,June,1997,30-Jun-97,2,Construction,"239,711","1,686,910","1,926,620"
30,June,1997,30-Jun-97,2,"Wholesale, retail & repair of motor vehicles","1,953,719","2,009,975","3,963,694"
30,June,1997,30-Jun-97,2,Transport & storage,"273,510","1,088,671","1,362,181"
30,June,1997,30-Jun-97,2,Accommod-ation & food services,"787,819","521,099","1,308,917"
30,June,1997,30-Jun-97,2,Information & communication,"259,409","513,374","772,784"
30,June,1997,30-Jun-97,2,Financial & insurance activities,"620,978","555,711","1,176,871"
30,June,1997,30-Jun-97,2,Real estate activities,"99,124","104,013","202,954"
30,June,1997,30-Jun-97,2,"Professional, scientific & technical activities","642,257","887,012","1,529,269"
30,June,1997,30-Jun-97,2,Administrative & support services,"479,329","575,134","1,054,463"
30,June,1997,30-Jun-97,2,Public admin & defence; social security,"684,788","838,001","1,522,789"
30,June,1997,30-Jun-97,2,Education,"1,478,990","643,145","2,122,135"
30,June,1997,30-Jun-97,2,Human health & social work activities,"2,377,265","546,295","2,923,560"
30,June,1997,30-Jun-97,2,Other services,"758,345","572,564","1,330,909"
30,September,1997,30-Sep-97,3,Public Sector,"3,743,746","2,260,468","6,004,214"
30,September,1997,30-Sep-97,3,Private sector,"8,318,354","12,240,035","20,558,389"
30,September,1997,30-Sep-97,3,"Agriculture, forestry & fishing","110,508","305,326","415,834"
30,September,1997,30-Sep-97,3,"Mining, energy and water supply","73,620","298,826","372,446"
30,September,1997,30-Sep-97,3,Manufacturing,"1,165,318","3,254,250","4,419,568"
30,September,1997,30-Sep-97,3,Construction,"247,065","1,698,078","1,945,143"
30,September,1997,30-Sep-97,3,"Wholesale, retail & repair of motor vehicles","1,974,239","2,045,860","4,020,099"
30,September,1997,30-Sep-97,3,Transport & storage,"282,767","1,116,139","1,398,906"
30,September,1997,30-Sep-97,3,Accommod-ation & food services,"827,775","540,280","1,368,055"
30,September,1997,30-Sep-97,3,Information & communication,"252,796","521,064","773,860"
30,September,1997,30-Sep-97,3,Financial & insurance activities,"608,511","567,342","1,176,002"
30,September,1997,30-Sep-97,3,Real estate activities,"95,925","101,943","197,718"
